objectId,geoPosition_____type,geoPosition__latitude,geoPosition__longitude,countryCode,postalCode,placeName,adminName1,adminName2,adminName3
6nuX9IMIwr,GeoPoint,19.4115,73.396,IN,401101,Bhayander West,Maharashtra,Thane,Thane
1Y1p3VYe8X,GeoPoint,19.4226,74.3807,IN,401102,Virathan Budruk,Maharashtra,Thane,Palghar
XLKy3bRUgo,GeoPoint,19.4226,74.3807,IN,401102,Usarani,Maharashtra,Thane,Palghar
D8mDsoMRMR,GeoPoint,19.4756,73.076,IN,401102,Umbarpada,Maharashtra,Thane,Palghar
QSDp7XHmOO,GeoPoint,19.4226,74.3807,IN,401102,Tembhikhodave,Maharashtra,Thane,Palghar
WdIaMUcPxf,GeoPoint,19.5992,73.1509,IN,401102,Tandulwadi,Maharashtra,Thane,Palghar
EcSS6Bnvxs,GeoPoint,19.5992,73.1509,IN,401102,Pargaon,Maharashtra,Thane,Palghar
UI2DpXRI0F,GeoPoint,19.4226,74.3807,IN,401102,Navghar,Maharashtra,Thane,Palghar
JHa0pDZA9u,GeoPoint,19.4226,74.3807,IN,401102,Edwan,Maharashtra,Thane,Palghar
byLJZtABEV,GeoPoint,19.4226,74.3807,IN,401102,Dhekale,Maharashtra,Thane,Palghar
9eqEk4VYl9,GeoPoint,19.4226,74.3807,IN,401102,Datiware,Maharashtra,Thane,Palghar
55zEWlWVOo,GeoPoint,19.4226,74.3807,IN,401102,Dahisar tymanor,Maharashtra,Thane,Palghar
qEu3yJAqWm,GeoPoint,19.4226,74.3807,IN,401102,Agarwadi,Maharashtra,Thane,Mokhada
vBStDQbXNN,GeoPoint,19.8762,72.7627,IN,401103,Vangaon,Maharashtra,Thane,Palghar
rEI7HFKYsv,GeoPoint,19.6574,73.0343,IN,401103,Gowane,Maharashtra,Thane,Dahanu
QtdIknmuWM,GeoPoint,19.6574,73.0343,IN,401103,Chandigaon,Maharashtra,Thane,Dahanu
ZDnB9yN4Q2,GeoPoint,19.6574,73.0343,IN,401103,Bavada,Maharashtra,Thane,Dahanu
AVrBtrTGLf,GeoPoint,19.4387,73.3059,IN,401103,Asangaon,Maharashtra,Thane,Dahanu
0b1chAlkgr,GeoPoint,19.4115,73.396,IN,401105,Bhayander East,Maharashtra,Thane,Thane
IE2YxGvAtn,GeoPoint,19.2691,72.8096,IN,401106,Uttan,Maharashtra,Thane,Thane
z9OwoLvFcm,GeoPoint,19.285,72.8086,IN,401106,Dongri,Maharashtra,Thane,Vasai
L4nct9euit,GeoPoint,19.2836,72.8675,IN,401107,Mira Road,Maharashtra,Thane,Thane
V7T4dCUD5H,GeoPoint,19.2836,72.8675,IN,401107,Mira,Maharashtra,Thane,Thane
NW8ZNp3BmX,GeoPoint,19.2836,72.8675,IN,401107,Kashi,Maharashtra,Thane,Vasai
9pvvE6RLWN,GeoPoint,19.2836,72.8675,IN,401107,Ghodbander,Maharashtra,Thane,Vasai
u6WbkNLR8y,GeoPoint,19.4191,72.9126,IN,401201,Saloli,Maharashtra,Thane,Vasai
AWwrRcJnJ6,GeoPoint,19.4191,72.9126,IN,401201,Mulgaon,Maharashtra,Thane,Vasai
IdQtMCgD1A,GeoPoint,19.4191,72.9126,IN,401201,Kaular Budruk,Maharashtra,Thane,Vasai
7OOYcAkKk4,GeoPoint,19.4191,72.9126,IN,401201,Holi Bazar,Maharashtra,Thane,Vasai
hBakz0EHEA,GeoPoint,19.4191,72.9126,IN,401201,Girij,Maharashtra,Thane,Vasai
